Id,Unnamed: 0,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinType1,BsmtQual,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,Heating,HeatingQC,HouseStyle,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,Street,TotRmsAbvGrd,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,TotalSF,TotalBaths
1,0,0,No Alley,3,1Fam,3.0,1.0,GLQ,4.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,3.4429619746497666,0,PConc,Typ,548.0,2.0,3.0,RFn,3.0,Attchd,2003.0,1710,GasA,5,2Story,4.0,Lvl,Gtl,8450,Inside,65.0,Reg,60,RL,196.0,BrkFace,No Shed,2,CollgCr,1,5,7,Y,0,CompShg,Gable,Normal,12.247694320220996,WD,0,Pave,8,0,2003,2003,2008,2566.0,3.5
2,1,0,No Alley,3,1Fam,3.0,4.0,ALQ,4.0,Y,Feedr,Norm,SBrkr,0,3,3,MetalSd,MetalSd,No Fence,3.0,1,CBlock,Typ,460.0,2.0,3.0,RFn,3.0,Attchd,1976.0,1262,GasA,5,1Story,3.0,Lvl,Gtl,9600,FR2,80.0,Reg,20,RL,0.0,None,No Shed,5,Veenker,0,8,6,Y,0,CompShg,Gable,Normal,12.109010932687044,WD,0,Pave,6,1,1976,1976,2007,2524.0,2.5
3,2,0,No Alley,3,1Fam,3.0,2.0,GLQ,4.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,3.0,1,PConc,Typ,608.0,2.0,3.0,RFn,3.0,Attchd,2001.0,1786,GasA,5,2Story,4.0,Lvl,Gtl,11250,Inside,68.0,IR1,60,RL,162.0,BrkFace,No Shed,9,CollgCr,1,5,7,Y,0,CompShg,Gable,Normal,12.31716669303576,WD,0,Pave,6,0,2001,2002,2008,2706.0,3.5
4,3,0,No Alley,3,1Fam,4.0,1.0,ALQ,3.0,Y,Norm,Norm,SBrkr,1,3,3,Wd Sdng,Wd Shng,No Fence,4.0,1,BrkTil,Typ,642.0,3.0,3.0,Unf,3.0,Detchd,1998.0,1717,GasA,4,2Story,4.0,Lvl,Gtl,9550,Corner,60.0,IR1,70,RL,0.0,None,No Shed,2,Crawfor,1,5,7,Y,0,CompShg,Gable,Abnorml,11.849397701591439,WD,0,Pave,7,0,1915,1970,2006,2473.0,2.0
5,4,0,No Alley,4,1Fam,3.0,3.0,GLQ,4.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,3.0,1,PConc,Typ,836.0,3.0,3.0,RFn,3.0,Attchd,2000.0,2198,GasA,5,2Story,4.0,Lvl,Gtl,14260,FR2,84.0,IR1,60,RL,350.0,BrkFace,No Shed,12,NoRidge,1,5,8,Y,0,CompShg,Gable,Normal,12.429216196844385,WD,0,Pave,9,1,2000,2000,2008,3343.0,3.5
6,5,1,No Alley,1,1Fam,3.0,1.0,GLQ,4.0,Y,Norm,Norm,SBrkr,0,3,3,VinylSd,VinylSd,MnPrv,3.4429619746497666,0,Wood,Typ,480.0,2.0,3.0,Unf,3.0,Attchd,1993.0,1362,GasA,5,1.5Fin,3.0,Lvl,Gtl,14115,Inside,85.0,IR1,50,RL,0.0,None,Shed,10,Mitchel,1,5,5,Y,0,CompShg,Gable,Normal,11.870599909242046,WD,0,Pave,5,1,1993,1995,2009,2158.0,2.5
7,6,0,No Alley,3,1Fam,3.0,3.0,GLQ,5.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,4.0,1,PConc,Typ,636.0,2.0,3.0,RFn,3.0,Attchd,2004.0,1694,GasA,5,1Story,4.0,Lvl,Gtl,10084,Inside,75.0,Reg,20,RL,186.0,Stone,No Shed,8,Somerst,1,5,8,Y,0,CompShg,Gable,Normal,12.634603026569335,WD,0,Pave,7,1,2004,2005,2007,3380.0,3.0
8,7,0,No Alley,3,1Fam,3.0,2.0,ALQ,4.0,Y,PosN,Norm,SBrkr,1,3,3,HdBoard,HdBoard,No Fence,3.0,2,CBlock,Typ,484.0,2.0,3.0,RFn,3.0,Attchd,1973.0,2090,GasA,5,2Story,3.0,Lvl,Gtl,10382,Corner,80.0,IR1,60,RL,240.0,Stone,Shed,11,NWAmes,1,6,7,Y,0,CompShg,Gable,Normal,12.206072645530176,WD,0,Pave,7,1,1973,1973,2009,3197.0,3.5
9,8,0,No Alley,2,1Fam,3.0,1.0,Unf,3.0,Y,Artery,Norm,FuseF,1,3,3,BrkFace,Wd Shng,No Fence,3.0,2,BrkTil,Min1,468.0,2.0,3.0,Unf,2.0,Detchd,1931.0,1774,GasA,4,1.5Fin,3.0,Lvl,Gtl,6120,Inside,51.0,Reg,50,RM,0.0,None,No Shed,4,OldTown,0,5,7,Y,0,CompShg,Gable,Abnorml,11.774520202658689,WD,0,Pave,8,1,1931,1950,2008,2726.0,2.0
10,9,0,No Alley,2,2fmCon,3.0,1.0,GLQ,3.0,Y,Artery,Artery,SBrkr,0,3,3,MetalSd,MetalSd,No Fence,3.0,2,BrkTil,Typ,205.0,1.0,3.0,RFn,4.0,Attchd,1939.0,1077,GasA,5,1.5Unf,3.0,Lvl,Gtl,7420,Corner,50.0,Reg,190,RL,0.0,None,No Shed,1,BrkSide,1,6,5,Y,0,CompShg,Gable,Normal,11.6784399034478,WD,0,Pave,5,0,1939,1950,2008,2068.0,2.0
