,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFullBath,BsmtHalfBath,BsmtQual,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,Id,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
0,856,854,0,No Alley,3,1Fam,3,1,GLQ,1.0,0.0,4,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,3.4429619746497666,0,PConc,2,Typ,548.0,2.0,3,RFn,3,Attchd,2003.0,1710,1,GasA,5,2Story,1,4,Lvl,Gtl,8450,Inside,65.0,Reg,60,RL,196.0,BrkFace,No Shed,2,CollgCr,1,5,7,Y,0,CompShg,Gable,Normal,12.247694320220994,WD,0,Pave,8,856.0,0,2003,2003,2008
1,1262,0,0,No Alley,3,1Fam,3,4,ALQ,0.0,1.0,4,Y,Feedr,Norm,SBrkr,0,3,3,MetalSd,MetalSd,No Fence,3,1,CBlock,2,Typ,460.0,2.0,3,RFn,3,Attchd,1976.0,1262,0,GasA,5,1Story,2,3,Lvl,Gtl,9600,FR2,80.0,Reg,20,RL,0.0,None,No Shed,5,Veenker,0,8,6,Y,0,CompShg,Gable,Normal,12.109010932687042,WD,0,Pave,6,1262.0,1,1976,1976,2007
2,920,866,0,No Alley,3,1Fam,3,2,GLQ,1.0,0.0,4,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,3,1,PConc,2,Typ,608.0,2.0,3,RFn,3,Attchd,2001.0,1786,1,GasA,5,2Story,3,4,Lvl,Gtl,11250,Inside,68.0,IR1,60,RL,162.0,BrkFace,No Shed,9,CollgCr,1,5,7,Y,0,CompShg,Gable,Normal,12.31716669303576,WD,0,Pave,6,920.0,0,2001,2002,2008
3,961,756,0,No Alley,3,1Fam,4,1,ALQ,1.0,0.0,3,Y,Norm,Norm,SBrkr,1,3,3,Wd Sdng,Wd Shng,No Fence,4,1,BrkTil,1,Typ,642.0,3.0,3,Unf,3,Detchd,1998.0,1717,0,GasA,4,2Story,4,4,Lvl,Gtl,9550,Corner,60.0,IR1,70,RL,0.0,None,No Shed,2,Crawfor,1,5,7,Y,0,CompShg,Gable,Abnorml,11.84939770159144,WD,0,Pave,7,756.0,0,1915,1970,2006
4,1145,1053,0,No Alley,4,1Fam,3,3,GLQ,1.0,0.0,4,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,3,1,PConc,2,Typ,836.0,3.0,3,RFn,3,Attchd,2000.0,2198,1,GasA,5,2Story,5,4,Lvl,Gtl,14260,FR2,84.0,IR1,60,RL,350.0,BrkFace,No Shed,12,NoRidge,1,5,8,Y,0,CompShg,Gable,Normal,12.429216196844383,WD,0,Pave,9,1145.0,1,2000,2000,2008
5,796,566,1,No Alley,1,1Fam,3,1,GLQ,1.0,0.0,4,Y,Norm,Norm,SBrkr,0,3,3,VinylSd,VinylSd,MnPrv,3.4429619746497666,0,Wood,1,Typ,480.0,2.0,3,Unf,3,Attchd,1993.0,1362,1,GasA,5,1.5Fin,6,3,Lvl,Gtl,14115,Inside,85.0,IR1,50,RL,0.0,None,Shed,10,Mitchel,1,5,5,Y,0,CompShg,Gable,Normal,11.870599909242044,WD,0,Pave,5,796.0,1,1993,1995,2009
6,1694,0,0,No Alley,3,1Fam,3,3,GLQ,1.0,0.0,5,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,4,1,PConc,2,Typ,636.0,2.0,3,RFn,3,Attchd,2004.0,1694,0,GasA,5,1Story,7,4,Lvl,Gtl,10084,Inside,75.0,Reg,20,RL,186.0,Stone,No Shed,8,Somerst,1,5,8,Y,0,CompShg,Gable,Normal,12.634603026569334,WD,0,Pave,7,1686.0,1,2004,2005,2007
7,1107,983,0,No Alley,3,1Fam,3,2,ALQ,1.0,0.0,4,Y,PosN,Norm,SBrkr,1,3,3,HdBoard,HdBoard,No Fence,3,2,CBlock,2,Typ,484.0,2.0,3,RFn,3,Attchd,1973.0,2090,1,GasA,5,2Story,8,3,Lvl,Gtl,10382,Corner,80.0,IR1,60,RL,240.0,Stone,Shed,11,NWAmes,1,6,7,Y,0,CompShg,Gable,Normal,12.206072645530174,WD,0,Pave,7,1107.0,1,1973,1973,2009
8,1022,752,0,No Alley,2,1Fam,3,1,Unf,0.0,0.0,3,Y,Artery,Norm,FuseF,1,3,3,BrkFace,Wd Shng,No Fence,3,2,BrkTil,2,Min1,468.0,2.0,3,Unf,2,Detchd,1931.0,1774,0,GasA,4,1.5Fin,9,3,Lvl,Gtl,6120,Inside,51.0,Reg,50,RM,0.0,None,No Shed,4,OldTown,0,5,7,Y,0,CompShg,Gable,Abnorml,11.77452020265869,WD,0,Pave,8,952.0,1,1931,1950,2008
9,1077,0,0,No Alley,2,2fmCon,3,1,GLQ,1.0,0.0,3,Y,Artery,Artery,SBrkr,0,3,3,MetalSd,MetalSd,No Fence,3,2,BrkTil,1,Typ,205.0,1.0,3,RFn,4,Attchd,1939.0,1077,0,GasA,5,1.5Unf,10,3,Lvl,Gtl,7420,Corner,50.0,Reg,190,RL,0.0,None,No Shed,1,BrkSide,1,6,5,Y,0,CompShg,Gable,Normal,11.678439903447801,WD,0,Pave,5,991.0,0,1939,1950,2008
10,1040,0,0,No Alley,3,1Fam,3,1,Rec,1.0,0.0,3,Y,Norm,Norm,SBrkr,0,3,3,HdBoard,HdBoard,No Fence,3.4429619746497666,0,CBlock,1,Typ,384.0,1.0,3,Unf,3,Detchd,1965.0,1040,0,GasA,5,1Story,11,3,Lvl,Gtl,11200,Inside,70.0,Reg,20,RL,0.0,None,No Shed,2,Sawyer,0,5,5,Y,0,CompShg,Hip,Normal,11.771436160121729,WD,0,Pave,5,1040.0,0,1965,1965,2008
11,1182,1142,0,No Alley,4,1Fam,3,1,GLQ,1.0,0.0,5,Y,Norm,Norm,SBrkr,0,3,5,WdShing,Wd Shng,No Fence,4,2,PConc,3,Typ,736.0,3.0,3,Fin,3,BuiltIn,2005.0,2324,0,GasA,5,2Story,12,5,Lvl,Gtl,11924,Inside,85.0,IR1,60,RL,286.0,Stone,No Shed,7,NridgHt,1,5,9,Y,0,CompShg,Hip,Partial,12.751299696013497,New,0,Pave,11,1175.0,1,2005,2006,2006
12,912,0,0,No Alley,2,1Fam,3,1,ALQ,1.0,0.0,3,Y,Norm,Norm,SBrkr,0,3,3,HdBoard,Plywood,No Fence,3.4429619746497666,0,CBlock,1,Typ,352.0,1.0,3,Unf,3,Detchd,1962.0,912,0,GasA,3,1Story,13,3,Lvl,Gtl,12968,Inside,72.0,IR2,20,RL,0.0,None,No Shed,9,Sawyer,0,6,5,Y,0,CompShg,Hip,Normal,11.877568578558138,WD,1,Pave,4,912.0,1,1962,1962,2008
13,1494,0,0,No Alley,3,1Fam,3,3,Unf,0.0,0.0,4,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,4,1,PConc,2,Typ,840.0,3.0,3,RFn,3,Attchd,2006.0,1494,0,GasA,5,1Story,14,4,Lvl,Gtl,10652,Inside,91.0,IR1,20,RL,306.0,Stone,No Shed,8,CollgCr,1,5,7,Y,0,CompShg,Gable,Partial,12.540757571577291,New,0,Pave,7,1494.0,1,2006,2007,2007
14,1253,0,0,No Alley,2,1Fam,3,1,BLQ,1.0,0.0,3,Y,Norm,Norm,SBrkr,1,3,3,MetalSd,MetalSd,GdWo,2,1,CBlock,1,Typ,352.0,1.0,3,RFn,3,Attchd,1960.0,1253,1,GasA,3,1Story,15,3,Lvl,Gtl,10920,Corner,73.0,IR1,20,RL,212.0,BrkFace,No Shed,5,NAmes,1,5,6,Y,0,CompShg,Hip,Normal,11.964001084330445,WD,0,Pave,5,1253.0,0,1960,1960,2008
