Id,Unnamed: 0,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalBaths
1,0,60,RL,65.0,8450,Pave,No Alley,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,4,3,PConc,4.0,3.0,1.0,GLQ,GasA,5,Y,SBrkr,1710,3,4,8,Typ,0,3.4610389610389616,Attchd,2003.0,RFn,2,548,3.0,3.0,Y,0,1,0,0,0,0,No Fence,No Shed,2,2008,WD,Normal,12.247694320220996,2566,3.5
2,1,20,RL,80.0,9600,Pave,No Alley,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,4.0,3.0,4.0,ALQ,GasA,5,Y,SBrkr,1262,3,3,6,Typ,1,3.0,Attchd,1976.0,RFn,2,460,3.0,3.0,Y,1,0,0,0,0,0,No Fence,No Shed,5,2007,WD,Normal,12.109010932687044,2524,2.5
3,2,60,RL,68.0,11250,Pave,No Alley,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,4,3,PConc,4.0,3.0,2.0,GLQ,GasA,5,Y,SBrkr,1786,3,4,6,Typ,1,3.0,Attchd,2001.0,RFn,2,608,3.0,3.0,Y,0,1,0,0,0,0,No Fence,No Shed,9,2008,WD,Normal,12.31716669303576,2706,3.5
4,3,70,RL,60.0,9550,Pave,No Alley,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,3,BrkTil,3.0,4.0,1.0,ALQ,GasA,4,Y,SBrkr,1717,3,4,7,Typ,1,4.0,Detchd,1998.0,Unf,3,642,3.0,3.0,Y,0,1,1,0,0,0,No Fence,No Shed,2,2006,WD,Abnorml,11.849397701591439,2473,2.0
5,4,60,RL,84.0,14260,Pave,No Alley,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,4.0,3.0,3.0,GLQ,GasA,5,Y,SBrkr,2198,4,4,9,Typ,1,3.0,Attchd,2000.0,RFn,3,836,3.0,3.0,Y,1,1,0,0,0,0,No Fence,No Shed,12,2008,WD,Normal,12.429216196844385,3343,3.5
6,5,50,RL,85.0,14115,Pave,No Alley,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,Wood,4.0,3.0,1.0,GLQ,GasA,5,Y,SBrkr,1362,1,3,5,Typ,0,3.4610389610389616,Attchd,1993.0,Unf,2,480,3.0,3.0,Y,1,1,0,1,0,0,MnPrv,Shed,10,2009,WD,Normal,11.870599909242046,2158,2.5
7,6,20,RL,75.0,10084,Pave,No Alley,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,4,3,PConc,5.0,3.0,3.0,GLQ,GasA,5,Y,SBrkr,1694,3,4,7,Typ,1,4.0,Attchd,2004.0,RFn,2,636,3.0,3.0,Y,1,1,0,0,0,0,No Fence,No Shed,8,2007,WD,Normal,12.634603026569335,3380,3.0
8,7,60,RL,80.0,10382,Pave,No Alley,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4.0,3.0,2.0,ALQ,GasA,5,Y,SBrkr,2090,3,3,7,Typ,2,3.0,Attchd,1973.0,RFn,2,484,3.0,3.0,Y,1,1,1,0,0,0,No Fence,Shed,11,2009,WD,Normal,12.206072645530176,3197,3.5
9,8,50,RM,51.0,6120,Pave,No Alley,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,3,BrkTil,3.0,3.0,1.0,Unf,GasA,4,Y,FuseF,1774,2,3,8,Min1,2,3.0,Detchd,1931.0,Unf,2,468,2.0,3.0,Y,1,0,1,0,0,0,No Fence,No Shed,4,2008,WD,Abnorml,11.774520202658689,2726,2.0
10,9,190,RL,50.0,7420,Pave,No Alley,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,1.0,GLQ,GasA,5,Y,SBrkr,1077,2,3,5,Typ,2,3.0,Attchd,1939.0,RFn,1,205,4.0,3.0,Y,0,1,0,0,0,0,No Fence,No Shed,1,2008,WD,Normal,11.6784399034478,2068,2.0
11,10,20,RL,70.0,11200,Pave,No Alley,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,1.0,Rec,GasA,5,Y,SBrkr,1040,3,3,5,Typ,0,3.4610389610389616,Detchd,1965.0,Unf,1,384,3.0,3.0,Y,0,0,0,0,0,0,No Fence,No Shed,2,2008,WD,Normal,11.771436160121727,2080,2.0
12,11,60,RL,85.0,11924,Pave,No Alley,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5.0,3.0,1.0,GLQ,GasA,5,Y,SBrkr,2324,4,5,11,Typ,2,4.0,BuiltIn,2005.0,Fin,3,736,3.0,3.0,Y,1,1,0,0,0,0,No Fence,No Shed,7,2006,New,Partial,12.751299696013493,3499,4.0
13,12,20,RL,71.0,12968,Pave,No Alley,IR2,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3.0,3.0,1.0,ALQ,GasA,3,Y,SBrkr,912,2,3,4,Typ,0,3.4610389610389616,Detchd,1962.0,Unf,1,352,3.0,3.0,Y,1,0,0,0,1,0,No Fence,No Shed,9,2008,WD,Normal,11.877568578558137,1824,2.0
14,13,20,RL,91.0,10652,Pave,No Alley,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4.0,3.0,3.0,Unf,GasA,5,Y,SBrkr,1494,3,4,7,Typ,1,4.0,Attchd,2006.0,RFn,3,840,3.0,3.0,Y,1,1,0,0,0,0,No Fence,No Shed,8,2007,New,Partial,12.540757571577293,2988,2.0
15,14,20,RL,73.0,10920,Pave,No Alley,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3.0,3.0,1.0,BLQ,GasA,3,Y,SBrkr,1253,2,3,5,Typ,1,2.0,Attchd,1960.0,RFn,1,352,3.0,3.0,Y,0,1,1,0,0,0,GdWo,No Shed,5,2008,WD,Normal,11.964001084330445,2506,2.5
16,15,45,RM,51.0,6120,Pave,No Alley,Reg,Lvl,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3.0,3.0,1.0,Unf,GasA,5,Y,FuseA,854,2,3,5,Typ,0,3.4610389610389616,Detchd,1991.0,Unf,2,576,3.0,3.0,Y,1,1,0,0,0,0,GdPrv,No Shed,7,2007,WD,Normal,11.790557201568507,1686,1.0
17,16,20,RL,73.0,11241,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3.0,3.0,1.0,ALQ,GasA,5,Y,SBrkr,1004,2,3,5,Typ,1,3.0,Attchd,1970.0,Fin,2,480,3.0,3.0,Y,0,0,0,0,0,0,No Fence,Shed,3,2010,WD,Normal,11.911701584927595,2008,2.0
18,17,90,RL,72.0,10791,Pave,No Alley,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,3.5797610681658467,3.0112438510189734,1.6736990154711673,No Basement,GasA,3,Y,SBrkr,1296,2,3,6,Typ,0,3.4610389610389616,CarPort,1967.0,Unf,2,516,3.0,3.0,Y,0,0,0,0,0,0,No Fence,Shed,10,2006,WD,Normal,11.407564949312404,1296,2.0
19,18,20,RL,66.0,13695,Pave,No Alley,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3.0,3.0,1.0,GLQ,GasA,5,Y,SBrkr,1114,3,4,6,Typ,0,3.4610389610389616,Detchd,2004.0,Unf,2,576,3.0,3.0,Y,0,1,0,0,0,0,No Fence,No Shed,6,2008,WD,Normal,11.976659481202367,2228,2.5
20,19,20,RL,70.0,7560,Pave,No Alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3.0,3.0,1.0,LwQ,GasA,3,Y,SBrkr,1339,3,3,6,Min1,0,3.4610389610389616,Attchd,1958.0,Unf,1,294,3.0,3.0,Y,0,0,0,0,0,0,MnPrv,No Shed,5,2009,COD,Abnorml,11.842229212112827,2368,1.0
21,20,60,RL,101.0,14215,Pave,No Alley,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5.0,3.0,3.0,Unf,GasA,5,Y,SBrkr,2376,4,4,9,Typ,1,4.0,BuiltIn,2005.0,RFn,3,853,3.0,3.0,Y,1,1,0,0,0,0,No Fence,No Shed,11,2006,New,Partial,12.692503112461445,3534,3.5
22,21,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3.0,3.0,1.0,Unf,GasA,5,Y,FuseF,1108,3,4,6,Typ,1,4.0,Attchd,1930.0,Unf,1,280,3.0,3.0,N,0,0,1,0,0,0,GdPrv,No Shed,6,2007,WD,Normal,11.84510277730856,1745,1.0
