,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,60,RL,65.0,8450,Pave,No Alley,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,4,3,PConc,4,3,1,GLQ,856,GasA,5,Y,SBrkr,856,854,1710,1,0,2,1,3,4,8,Typ,0,3.461038961038961,Attchd,2003.0,RFn,2,548,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,2,2008,WD,Normal,12.247694320220994
1,2,20,RL,80.0,9600,Pave,No Alley,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,4,3,4,ALQ,1262,GasA,5,Y,SBrkr,1262,0,1262,0,1,2,0,3,3,6,Typ,1,3,Attchd,1976.0,RFn,2,460,3,3,Y,1,0,0,0,0,0,No Fence,No Shed,5,2007,WD,Normal,12.109010932687042
2,3,60,RL,68.0,11250,Pave,No Alley,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,4,3,PConc,4,3,2,GLQ,920,GasA,5,Y,SBrkr,920,866,1786,1,0,2,1,3,4,6,Typ,1,3,Attchd,2001.0,RFn,2,608,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,9,2008,WD,Normal,12.31716669303576
3,4,70,RL,60.0,9550,Pave,No Alley,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,3,BrkTil,3,4,1,ALQ,756,GasA,4,Y,SBrkr,961,756,1717,1,0,1,0,3,4,7,Typ,1,4,Detchd,1998.0,Unf,3,642,3,3,Y,0,1,1,0,0,0,No Fence,No Shed,2,2006,WD,Abnorml,11.84939770159144
4,5,60,RL,84.0,14260,Pave,No Alley,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,4,3,3,GLQ,1145,GasA,5,Y,SBrkr,1145,1053,2198,1,0,2,1,4,4,9,Typ,1,3,Attchd,2000.0,RFn,3,836,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,12,2008,WD,Normal,12.429216196844383
5,6,50,RL,85.0,14115,Pave,No Alley,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,Wood,4,3,1,GLQ,796,GasA,5,Y,SBrkr,796,566,1362,1,0,1,1,1,3,5,Typ,0,3.461038961038961,Attchd,1993.0,Unf,2,480,3,3,Y,1,1,0,1,0,0,MnPrv,Shed,10,2009,WD,Normal,11.870599909242044
6,7,20,RL,75.0,10084,Pave,No Alley,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,4,3,PConc,5,3,3,GLQ,1686,GasA,5,Y,SBrkr,1694,0,1694,1,0,2,0,3,4,7,Typ,1,4,Attchd,2004.0,RFn,2,636,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,8,2007,WD,Normal,12.634603026569334
7,8,60,RL,80.0,10382,Pave,No Alley,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4,3,2,ALQ,1107,GasA,5,Y,SBrkr,1107,983,2090,1,0,2,1,3,3,7,Typ,2,3,Attchd,1973.0,RFn,2,484,3,3,Y,1,1,1,0,0,0,No Fence,Shed,11,2009,WD,Normal,12.206072645530174
8,9,50,RM,51.0,6120,Pave,No Alley,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,3,BrkTil,3,3,1,Unf,952,GasA,4,Y,FuseF,1022,752,1774,0,0,2,0,2,3,8,Min1,2,3,Detchd,1931.0,Unf,2,468,2,3,Y,1,0,1,0,0,0,No Fence,No Shed,4,2008,WD,Abnorml,11.77452020265869
9,10,190,RL,50.0,7420,Pave,No Alley,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,GLQ,991,GasA,5,Y,SBrkr,1077,0,1077,1,0,1,0,2,3,5,Typ,2,3,Attchd,1939.0,RFn,1,205,4,3,Y,0,1,0,0,0,0,No Fence,No Shed,1,2008,WD,Normal,11.678439903447801
