Id,RoofMatl__WdShake,GarageYrBlt,RoofStyle__Hip,LotArea,Exterior1st__BrkFace,LotConfig__FR3,MSZoning__RL,MSSubClass__120,EnclosedPorch__1,RoofStyle__Shed,Fence__MnPrv,MoSold__2,BsmtFinType1__BLQ,MiscFeature__Shed,GarageType__Detchd,MSSubClass__60,Condition2__PosN,GarageQual,LandContour__HLS,Neighborhood__MeadowV,Neighborhood__IDOTRR,MoSold__8,MSSubClass__90,MSZoning__FV,HouseStyle__1Story,GarageCond,LandContour__Low,RoofMatl__WdShngl,BldgType__TwnhsE,MSSubClass__70,PavedDrive__P,Heating__GasW,Foundation__Stone,SaleCondition__AdjLand,MoSold__7,Exterior2nd__AsphShn,Exterior2nd__Brk Cmn,Functional__Min1,GarageType__Attchd,BldgType__2fmCon,MSSubClass__85,Neighborhood__CollgCr,MoSold__4,Condition1__PosN,OverallQual,TotalBaths,Neighborhood__NoRidge,MSSubClass__190,3SsnPorch__1,Neighborhood__ClearCr,LotFrontage,SaleCondition__Normal,BldgType__Twnhs,GarageType__Basment,SaleType__Con,OpenPorchSF__1,Exterior1st__Stucco,ExterQual,Foundation__Wood,Condition1__Feedr,Neighborhood__Blueste,RoofMatl__Tar&Grv,Condition1__RRAn,HouseStyle__1.5Unf,Exterior1st__AsphShn,MasVnrType__No Masonry Veneer,Neighborhood__NridgHt,Fence__MnWw,SaleType__Oth,Electrical__SBrkr,Exterior2nd__ImStucc,Condition1__PosA,Exterior1st__CemntBd,Heating__Grav,HouseStyle__SFoyer,Street__Pave,Exterior2nd__CBlock,GarageType__No Garage,HouseStyle__2.5Unf,BsmtExposure,Exterior1st__BrkComm,Neighborhood__Timber,SaleType__ConLw,LotShape__Reg,Alley__No Alley,YearRemodAdd,MSSubClass__160,MSZoning__RH,MSSubClass__45,Electrical__FuseP,LotShape__IR3,Exterior1st__CBlock,BedroomAbvGr,Exterior1st__VinylSd,Functional__Min2,MSSubClass__50,HeatingQC,Condition1__RRNe,Neighborhood__Sawyer,Exterior2nd__HdBoard,GarageArea,MasVnrType__Stone,SaleType__WD,GrLivArea,LandSlope__Mod,Neighborhood__Mitchel,GarageFinish__RFn,Neighborhood__BrDale,Neighborhood__NAmes,Neighborhood__OldTown,PoolArea__1,MoSold__11,HouseStyle__SLvl,LotConfig__CulDSac,LotShape__IR2,ScreenPorch__1,RoofStyle__Gable,Exterior2nd__Stucco,GarageFinish__Unf,Foundation__CBlock,BsmtFinType1__No Basement,MoSold__6,Unnamed: 0,Condition1__RRNn,MSSubClass__75,YrSold,Exterior2nd__VinylSd,HouseStyle__2Story,Fence__No Fence,GarageFinish__No Garage,Functional__Maj2,BsmtCond,Fence__GdWo,Neighborhood__Gilbert,MasVnrType__BrkFace,Electrical__FuseF,MoSold__12,OverallCond,LotConfig__Inside,Exterior2nd__Wd Sdng,Neighborhood__SawyerW,LandSlope__Sev,GarageType__BuiltIn,PavedDrive__Y,Neighborhood__StoneBr,MasVnrArea,BsmtQual,Neighborhood__Crawfor,Exterior2nd__BrkFace,SaleType__CWD,SaleType__ConLI,SaleType__New,MSSubClass__40,BsmtFinType1__GLQ,SaleCondition__Family,Heating__Wall,Condition2__PosA,SaleCondition__Alloca,Neighborhood__Veenker,Alley__Pave,RoofStyle__Gambrel,Exterior2nd__Wd Shng,GarageType__CarPort,BsmtFinType1__LwQ,Condition2__Norm,Neighborhood__BrkSide,RoofStyle__Mansard,MoSold__9,GarageCars,MasVnrType__None,Exterior1st__WdShing,KitchenQual,BldgType__Duplex,BsmtFinType1__Rec,LandContour__Lvl,LotConfig__FR2,Functional__Sev,MoSold__10,Condition2__Feedr,Neighborhood__NWAmes,Foundation__PConc,Exterior1st__HdBoard,TotRmsAbvGrd,YearBuilt,Neighborhood__SWISU,Neighborhood__Edwards,SaleType__ConLD,TotalSF,Exterior2nd__CmentBd,FireplaceQu,MSSubClass__80,MSZoning__RM,Exterior2nd__Stone,MSSubClass__30,Neighborhood__NPkVill,Functional__Mod,Functional__Typ,MSSubClass__180,ExterCond,Exterior1st__Plywood,Exterior1st__Wd Sdng,Condition1__RRAe,Exterior2nd__Plywood,WoodDeckSF__1,Exterior2nd__MetalSd,Fireplaces,Foundation__Slab,MoSold__3,Neighborhood__Somerst,CentralAir__Y,SaleCondition__Partial,Exterior1st__MetalSd,MoSold__5,BsmtFinType1__Unf,Condition1__Norm,SalePrice
1,0,1.0014670104956156,0,-0.21605199795074903,0,0,1,0,0,0,0,1,0,0,0,1,0,0.15358266287918018,0,0,0,0,0,0,0,0.12764689604181773,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.6490987052618,1.5893484639459865,0,0,0,0,-0.209728210963642,1,0,0,0,1,0,1.0434644043985266,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.6479587615110037,0,0,0,1,1,0.8974924227572543,0,0,0,0,0,0,0.16894880780947516,1,0,0,0.8872478879533267,0,0,0,0.35256207374549525,0,1,0.42589827438943345,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.15737080625277108,1,1,1,0,0,-0.009724043804768118,0,0,1,0,0,-0.5067752790279232,1,0,0,0,0,1,0,0.5332353377177503,0.6161772368029808,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3075671806619252,0,0,0.7410833483503131,0,0,1,0,0,0,0,0,1,0,0.9913998573692107,1.0469852148165273,0,0,0,0.029757590128893084,0,0.0011159878699909533,0,0,0,0,0,0,1,0,-0.22949371295410165,0,0,0,0,0,0,-0.9242811226551905,0,0,0,1,0,0,0,0,1,12.247694320220996
2,0,-0.08423253140866717,0,-0.06802099566081332,0,0,1,0,0,0,0,0,0,0,0,0,0,0.15358266287918018,0,0,0,0,0,0,1,0.12764689604181773,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.06173758362076513,0.3506134604745061,0,0,0,0,0.49756729152980395,1,0,0,0,0,0,-0.6835877603815342,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.2603619063423785,0,0,0,1,1,-0.39505640428223504,0,0,0,0,0,0,0.16894880780947516,0,0,0,0.8872478879533267,0,0,0,-0.057014524787157815,0,1,-0.4754501130599628,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,-0.6028632876348115,0,0,1,0,0,-0.009724043804768118,0,0,0,0,0,2.188726342046343,0,0,0,0,0,1,0,-0.5673030920630604,0.6161772368029808,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.3075671806619252,1,0,-0.7712055330034309,0,0,1,1,0,0,0,0,0,0,-0.28673591803088283,0.15522062345911333,0,0,0,-0.023999842457442452,0,-0.8055280516276615,0,0,0,0,0,0,1,0,-0.22949371295410165,0,0,0,0,1,1,0.6275522550362042,0,0,0,1,0,1,1,0,0,12.109010932687044
3,0,0.9210448222064095,0,0.1443713119725727,0,0,1,0,0,0,0,0,0,0,0,1,0,0.15358266287918018,0,0,0,0,0,0,0,0.12764689604181773,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.6490987052618,1.5893484639459865,0,0,0,0,-0.06826911046495282,1,0,0,0,1,0,1.0434644043985266,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.3214814611067903,0,0,0,0,1,0.849620243978014,0,0,0,0,0,0,0.16894880780947516,1,0,0,0.8872478879533267,0,0,0,0.6318188454723042,0,1,0.578805590117456,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0.15737080625277108,1,1,1,0,0,-0.009724043804768118,0,0,1,0,0,-0.5067752790279232,1,0,0,0,0,1,0,0.3423256101027118,0.6161772368029808,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.3075671806619252,0,0,0.7410833483503131,0,0,1,0,0,0,0,0,1,0,-0.28673591803088283,0.9809285784196818,0,0,0,0.20894903208334487,0,-0.8055280516276615,0,0,0,0,0,0,1,0,-0.22949371295410165,0,0,0,0,0,0,0.6275522550362042,0,0,0,1,0,0,0,0,1,12.31716669303576
4,0,0.8004115397726003,0,-0.07445712619515836,0,0,1,0,1,0,0,1,0,0,1,0,0,0.15358266287918018,0,0,0,0,0,0,0,0.12764689604181773,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6490987052618,-0.26875404126123414,0,0,0,0,-0.4454933784614573,0,0,0,0,1,0,-0.6835877603815342,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.6479587615110037,0,0,0,0,1,-0.6822894769576772,0,0,0,0,0,0,0.16894880780947516,0,0,0,-0.1565942354747999,0,0,0,0.7900643494508293,0,1,0.43998184294333026,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,-1.363097381522394,0,1,1,0,0,3.43157683212182,0,0,0,0,0,-0.5067752790279232,0,0,0,0,0,1,0,-0.5673030920630604,-0.8368756568575156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.6193434577749382,1,0,0.7410833483503131,0,0,1,0,0,0,0,0,0,0,0.3523319696691639,-1.8595067866446737,0,0,0,-0.08927672488370703,0,1.0154951640455023,0,0,0,0,0,0,1,0,-0.22949371295410165,0,1,0,0,0,0,0.6275522550362042,0,0,0,1,0,0,0,0,1,11.849397701591439
5,0,0.8808337280618064,0,0.5318263701401436,0,0,1,0,0,0,0,0,0,0,0,1,0,0.15358266287918018,0,0,0,0,0,0,0,0.12764689604181773,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.3599349941443653,1.5893484639459865,1,0,0,0,0.6861794255280562,1,0,0,0,1,0,1.0434644043985266,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.2909216837245845,0,0,0,0,1,0.7538758864195332,0,0,0,0,0,0,1.384128751387254,1,0,0,0.8872478879533267,0,0,0,1.6929945780341782,0,1,1.4077241964325258,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0.15737080625277108,1,1,1,0,0,-0.009724043804768118,0,0,1,0,1,-0.5067752790279232,0,0,0,0,0,1,0,1.3979441039741016,0.6161772368029808,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.6193434577749382,0,0,0.7410833483503131,0,0,1,1,0,0,0,0,1,0,1.6304677450692575,0.9479002602212591,0,0,0,1.0242700929761006,0,-0.8055280516276615,0,0,0,0,0,0,1,0,-0.22949371295410165,0,0,0,0,1,0,0.6275522550362042,0,0,0,1,0,0,0,0,1,12.429216196844385
6,0,0.5993560690495849,0,0.513161591590543,0,0,1,0,0,0,1,0,0,1,0,0,0,0.15358266287918018,0,0,0,0,0,0,0,0.12764689604181773,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.7725738725033303,0.3506134604745061,0,0,1,0,0.7333324590276192,1,0,0,0,1,0,-0.6835877603815342,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.6479587615110037,0,0,0,0,1,0.5145149925233315,0,0,0,0,0,0,-2.2614110793460824,1,0,1,0.8872478879533267,0,0,0,0.03607106578844516,0,1,-0.2742562765757226,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0.9176049001403536,1,0,0,0,0,-0.009724043804768118,0,0,0,0,0,-0.5067752790279232,1,0,0,0,0,1,0,-0.5673030920630604,0.6161772368029808,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3075671806619252,1,0,-0.7712055330034309,0,0,1,0,0,1,0,0,0,0,-0.9258038057309296,0.7167020328322999,0,0,0,-0.4924574692812235,0,0.0011159878699909533,0,0,0,0,0,0,1,0,-0.22949371295410165,0,0,0,0,1,0,-0.9242811226551905,0,0,0,1,0,0,0,0,1,11.870599909242046
7,0,1.0416781046402186,0,-0.005719252088353431,0,0,1,0,0,0,0,0,0,0,0,0,0,0.15358266287918018,0,0,0,1,0,0,1,0.12764689604181773,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.3599349941443653,0.9699809622102463,0,0,0,0,0.26180212403198866,1,0,0,0,1,0,1.0434644043985266,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.2909216837245845,0,0,0,1,1,0.9932367803157349,0,0,0,0,0,0,0.16894880780947516,1,0,0,0.8872478879533267,0,0,0,0.7621386722781484,1,1,0.39370726055195504,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,-0.6028632876348115,1,0,1,0,0,-0.009724043804768118,0,0,0,0,0,-0.5067752790279232,1,0,0,0,0,1,0,0.4770854178309743,2.069230130463477,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3075671806619252,0,0,0.7410833483503131,0,0,1,0,0,0,0,0,1,0,0.3523319696691639,1.08001353301495,0,0,0,1.0716278312069198,0,1.0154951640455023,0,0,0,0,0,0,1,0,-0.22949371295410165,0,0,0,0,1,0,0.6275522550362042,0,0,1,1,0,0,0,0,1,12.634603026569335
8,0,-0.20486581384247635,0,0.03264008589634295,0,0,1,0,1,0,0,0,0,1,0,1,0,0.15358266287918018,0,0,0,0,0,0,0,0.12764689604181773,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.6490987052618,1.5893484639459865,0,0,0,0,0.49756729152980395,1,0,0,0,1,0,-0.6835877603815342,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.3214814611067903,0,0,0,0,1,-0.5386729406199561,0,0,0,0,0,0,0.16894880780947516,0,0,0,0.8872478879533267,0,0,1,0.05468818390356576,1,1,1.1904348530295463,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,7,0,0,0.9176049001403536,0,1,1,0,0,-0.009724043804768118,0,0,0,0,0,0.39172526133016566,0,0,0,0,0,1,0,0.780294985219565,0.6161772368029808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3075671806619252,0,0,-0.7712055330034309,0,0,1,0,0,0,0,1,0,1,0.3523319696691639,0.05613566886384513,0,0,0,0.8373990177950293,0,-0.8055280516276615,0,0,0,0,0,0,1,0,-0.22949371295410165,0,0,0,0,1,0,2.179385632727599,0,0,0,1,0,0,0,0,0,12.206072645530176
9,0,-1.893731767915805,0,-0.5159756808512275,1,0,0,0,1,0,0,0,0,0,1,0,0,-3.913887030472782,0,0,0,0,0,0,0,0.12764689604181773,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.6490987052618,-0.26875404126123414,0,0,0,0,-0.8698706799575249,0,0,0,0,0,0,-0.6835877603815342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.6479587615110037,0,0,0,1,1,-1.639733052542484,0,0,0,0,0,0,-1.0462311357683036,0,0,1,-0.1565942354747999,0,0,0,-0.019780288556916624,0,1,0.5546623297393473,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,8,0,0,0.15737080625277108,0,0,1,0,0,-0.009724043804768118,0,0,0,1,0,-0.5067752790279232,1,0,0,0,0,1,0,-0.5673030920630604,-0.8368756568575156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.3075671806619252,1,0,-0.7712055330034309,0,0,1,0,0,0,0,0,0,0,0.9913998573692107,-1.33105369546991,0,0,0,0.2345478095054094,0,-0.8055280516276615,0,1,0,0,0,0,0,0,-0.22949371295410165,0,0,0,0,1,0,2.179385632727599,0,0,0,1,0,0,0,1,0,11.774520202658687
10,0,-1.5720430147589806,0,-0.34863628695825666,0,0,1,0,0,0,0,0,0,0,0,0,0,4.221052356231143,0,0,0,0,0,0,0,0.12764689604181773,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-0.7725738725033303,-0.26875404126123414,0,1,0,0,-0.917023713457088,1,0,0,0,1,0,-0.6835877603815342,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.6479587615110037,0,0,0,1,1,-1.639733052542484,0,0,0,0,0,0,-1.0462311357683036,0,0,0,0.8872478879533267,0,0,0,-1.2438558046260957,0,1,-0.8476587105558073,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0.15737080625277108,0,0,1,0,0,-0.009724043804768118,0,0,0,0,0,0.39172526133016566,0,0,0,0,0,1,0,-0.5673030920630604,-0.8368756568575156,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.0042090964510877,1,0,-0.7712055330034309,0,0,1,0,0,0,0,0,0,0,-0.9258038057309296,-1.066827149882528,0,0,0,-0.607651967680514,0,-0.8055280516276615,0,0,0,0,0,0,1,0,-0.22949371295410165,0,0,0,0,0,1,2.179385632727599,0,0,0,1,0,1,0,0,0,11.6784399034478
